symbol,sector,name
"AAPL","Technology","Apple Inc. Common Stock"
"ABNB","Consumer Discretionary","Airbnb, Inc. Class A Common Stock"
"ADBE","Technology","Adobe Inc. Common Stock"
"ADI","Technology","Analog Devices, Inc. Common Stock"
"ADP","Consumer Discretionary","Automatic Data Processing, Inc. Common Stock"
"ADSK","Technology","Autodesk, Inc. Common Stock"
"AEP","Utilities","American Electric Power Company, Inc. Common Stock"
"ALGN","Health Care","Align Technology, Inc. Common Stock"
"AMAT","Technology","Applied Materials, Inc. Common Stock",
"AMD","Technology","Advanced Micro Devices, Inc. Common Stock"
"AMGN","Health Care","Amgen Inc. Common Stock"
"AMZN","Consumer Discretionary","Amazon.com, Inc. Common Stock"
"ANSS","Technology","ANSYS, Inc. Common Stock"
"ASML","Technology","ASML Holding N.V. New York Registry Shares"
"ATVI","Consumer Discretionary","Activision Blizzard, Inc. Common Stock"
"AVGO","Technology","Broadcom Inc. Common Stock"
"AZN","Health Care","AstraZeneca PLC American Depositary Shares"
"BIIB","Health Care","Biogen Inc. Common Stock"
"BKNG","Consumer Discretionary","Booking Holdings Inc. Common Stock"
"BKR","Energy","Baker Hughes Company Class A Common Stock"
"CDNS","Technology","Cadence Design Systems, Inc. Common Stock"
"CEG","Utilities","Constellation Energy Corporation Common Stock "
"CHTR","Consumer Discretionary","Charter Communications, Inc. Class A Common Stock New"
"CMCSA","Consumer Discretionary","Comcast Corporation Class A Common Stock"
"COST","Consumer Discretionary","Costco Wholesale Corporation Common Stock"
"CPRT","Consumer Discretionary","Copart, Inc. (DE) Common Stock"
"CRWD","Technology","CrowdStrike Holdings, Inc. Class A Common Stock"
"CSCO","Telecommunications","Cisco Systems, Inc. Common Stock (DE)"
"CSGP","Finance","CoStar Group, Inc. Common Stock"
"CSX","Industrials","CSX Corporation Common Stock"
"CTAS","Consumer Discretionary","Cintas Corporation Common Stock"
"CTSH","Technology","Cognizant Technology Solutions Corporation Class A Common Stock"
"DDOG","Technology","Datadog, Inc. Class A Common Stock"
"DLTR","Consumer Discretionary","Dollar Tree Inc. Common Stock"
"DXCM","Health Care","DexCom, Inc. Common Stock"
"EA","Consumer Discretionary","Electronic Arts Inc. Common Stock"
"EBAY","Consumer Discretionary","eBay Inc. Common Stock"
"ENPH","Technology","Enphase Energy, Inc. Common Stock"
"EXC","Utilities","Exelon Corporation Common Stock"
"FANG","Energy","Diamondback Energy, Inc. Common Stock"
"FAST","Basic Materials","Fastenal Company Common Stock"
"FISV","Consumer Discretionary","Fiserv, Inc. Common Stock"
"FTNT","Technology","Fortinet, Inc. Common Stock"
"GFS","Technology","GlobalFoundries Inc. Ordinary Shares"
"GILD","Health Care","Gilead Sciences, Inc. Common Stock"
"GOOG","Technology","Alphabet Inc. Class C Capital Stock"
"GOOGL","Technology","Alphabet Inc. Class A Common Stock"
"HON","Industrials","Honeywell International Inc. Common Stock"
"IDXX","Health Care","IDEXX Laboratories, Inc. Common Stock"
"ILMN","Health Care","Illumina, Inc. Common Stock"
"INTC","Technology","Intel Corporation Common Stock"
"INTU","Technology","Intuit Inc. Common Stock"
"ISRG","Health Care","Intuitive Surgical, Inc. Common Stock"
"JD","Consumer Discretionary","JD.com, Inc. American Depositary Shares"
"KDP","Consumer Staples","Keurig Dr Pepper Inc. Common Stock"
"KHC","Consumer Staples","The Kraft Heinz Company Common Stock"
"KLAC","Technology","KLA Corporation Common Stock"
"LCID","Consumer Discretionary","Lucid Group, Inc. Common Stock"
"LRCX","Technology","Lam Research Corporation Common Stock"
"LULU","Consumer Discretionary","lululemon athletica inc. Common Stock"
"MAR","Consumer Discretionary","Marriott International Class A Common Stock"
"MCHP","Technology","Microchip Technology Incorporated Common Stock"
"MDLZ","Consumer Staples","Mondelez International, Inc. Class A Common Stock"
"MELI","Consumer Discretionary","MercadoLibre, Inc. Common Stock"
"META","Technology","Meta Platforms, Inc. Class A Common Stock"
"MNST","Consumer Staples","Monster Beverage Corporation"
"MRNA","Health Care","Moderna, Inc. Common Stock"
"MRVL","Technology","Marvell Technology, Inc. Common Stock"
"MSFT","Technology","Microsoft Corporation Common Stock"
"MU","Technology","Micron Technology, Inc. Common Stock"
"NFLX","Consumer Discretionary","Netflix, Inc. Common Stock"
"NVDA","Technology","NVIDIA Corporation Common Stock"
"NXPI","Technology","NXP Semiconductors N.V. Common Stock"
"ODFL","Industrials","Old Dominion Freight Line, Inc. Common Stock"
"ORLY","Consumer Discretionary","O'Reilly Automotive, Inc. Common Stock"
"PANW","Technology","Palo Alto Networks, Inc. Common Stock"
"PAYX","Consumer Discretionary","Paychex, Inc. Common Stock"
"PCAR","Industrials","PACCAR Inc. Common Stock"
"PDD","Consumer Discretionary","PDD Holdings Inc. American Depositary Shares"
"PEP","Consumer Staples","PepsiCo, Inc. Common Stock"
"PYPL","Consumer Discretionary","PayPal Holdings, Inc. Common Stock"
"QCOM","Technology","QUALCOMM Incorporated Common Stock"
"REGN","Health Care","Regeneron Pharmaceuticals, Inc. Common Stock"
"RIVN","Consumer Discretionary","Rivian Automotive, Inc. Class A Common Stock"
"ROST","Consumer Discretionary","Ross Stores, Inc. Common Stock"
"SBUX","Consumer Discretionary","Starbucks Corporation Common Stock"
"SGEN","Health Care","Seagen Inc. Common Stock"
"SIRI","Consumer Discretionary","Sirius XM Holdings Inc. Common Stock"
"SNPS","Technology","Synopsys, Inc. Common Stock"
"TEAM","Technology","Atlassian Corporation Class A Common Stock"
"TMUS","Telecommunications","T-Mobile US, Inc. Common Stock"
"TSLA","Consumer Discretionary","Tesla, Inc. Common Stock"
"TXN","Technology","Texas Instruments Incorporated Common Stock"
"VRSK","Consumer Discretionary","Verisk Analytics, Inc. Common Stock"
"VRTX","Health Care","Vertex Pharmaceuticals Incorporated Common Stock"
"WBA","Consumer Staples","Walgreens Boots Alliance, Inc. Common Stock"
"WBD","Telecommunications","Warner Bros. Discovery, Inc. Series A Common Stock "
"WDAY","Technology","Workday, Inc. Class A Common Stock"
"XEL","Utilities","Xcel Energy Inc. Common Stock"
"ZM","Technology","Zoom Video Communications, Inc. Class A Common Stock"
"ZS","Technology","Zscaler, Inc. Common Stock"
